MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape
60,RL,65,8450,Pave,NA,Reg
20,RL,80,9600,Pave,NA,Reg
60,RL,68,11250,Pave,NA,IR1
70,RL,60,9550,Pave,NA,IR1
60,RL,84,14260,Pave,NA,IR1
50,RL,85,14115,Pave,NA,IR1
20,RL,75,10084,Pave,NA,Reg
60,RL,NA,10382,Pave,NA,IR1
50,RM,51,6120,Pave,NA,Reg
190,RL,50,7420,Pave,NA,Reg
20,RL,70,11200,Pave,NA,Reg
60,RL,85,11924,Pave,NA,IR1
20,RL,NA,12968,Pave,NA,IR2
20,RL,91,10652,Pave,NA,IR1
20,RL,NA,10920,Pave,NA,IR1
45,RM,51,6120,Pave,NA,Reg
20,RL,NA,11241,Pave,NA,IR1
90,RL,72,10791,Pave,NA,Reg
20,RL,66,13695,Pave,NA,Reg
20,RL,70,7560,Pave,NA,Reg
60,RL,101,14215,Pave,NA,IR1
45,RM,57,7449,Pave,Grvl,Reg
20,RL,75,9742,Pave,NA,Reg
120,RM,44,4224,Pave,NA,Reg
20,RL,NA,8246,Pave,NA,IR1
20,RL,110,14230,Pave,NA,Reg
20,RL,60,7200,Pave,NA,Reg
20,RL,98,11478,Pave,NA,Reg
20,RL,47,16321,Pave,NA,IR1
30,RM,60,6324,Pave,NA,IR1
70,C (all),50,8500,Pave,Pave,Reg
20,RL,NA,8544,Pave,NA,IR1
20,RL,85,11049,Pave,NA,Reg
20,RL,70,10552,Pave,NA,IR1
120,RL,60,7313,Pave,NA,Reg
60,RL,108,13418,Pave,NA,Reg
20,RL,112,10859,Pave,NA,Reg
20,RL,74,8532,Pave,NA,Reg
20,RL,68,7922,Pave,NA,Reg
90,RL,65,6040,Pave,NA,Reg
20,RL,84,8658,Pave,NA,Reg
20,RL,115,16905,Pave,NA,Reg
85,RL,NA,9180,Pave,NA,IR1
20,RL,NA,9200,Pave,NA,IR1
20,RL,70,7945,Pave,NA,Reg
120,RL,61,7658,Pave,NA,Reg
50,RL,48,12822,Pave,NA,IR1
20,FV,84,11096,Pave,NA,Reg
190,RM,33,4456,Pave,NA,Reg
