Team,Day of Week,Opponent,Home/Away,Wins,Losses,Total Games Played,Average Age of Team,Average Height (cm),Total Points
Hawks,Wed,Houston,Home,1,0,1,25.23,199.7,224
Hawks,Fri,Orlando,Home,2,0,2,25.23,199.7,206
Hawks,Sun,Charlotte,Home,2,1,3,25.23,199.7,235
Hawks,Wed,Detroit,Away,3,1,4,25.23,199.7,231
Hawks,Fri,Detroit,Away,4,1,5,25.23,199.7,248
Hawks,Sat,Milwaukee,Away,4,2,6,25.23,199.7,238
Hawks,Mon,Toronto,Away,4,3,7,25.23,199.7,248
Hawks,Wed,New York,Away,5,3,8,25.23,199.7,211
Hawks,Sat,New Orleans,Home,6,3,9,25.23,199.7,245
Hawks,Mon,Milwaukee,Home,7,3,10,25.23,199.7,215
Hawks,Wed,Utah,Home,7,4,11,25.23,199.7,244
Hawks,Thu,Philadelphia,Home,8,4,12,25.23,199.7,199
Hawks,Sat,Philadelphia,Away,8,5,13,25.23,199.7,230
Hawks,Mon,Milwaukee,Away,9,5,14,25.23,199.7,227
Hawks,Wed,Boston,Home,9,6,15,25.23,199.7,227
Hawks,Sat,Toronto,Home,10,6,16,25.23,199.7,246
Hawks,Mon,Cleveland,Away,10,7,17,25.23,199.7,216
Hawks,Wed,Sacramento,Home,11,7,18,25.23,199.7,221
Hawks,Fri,Houston,Away,11,8,19,25.23,199.7,250
Hawks,Sun,Miami,Home,11,9,20,25.23,199.7,204
Hawks,Mon,Philadelphia,Away,11,10,21,25.23,199.7,205
Hawks,Wed,Orlando,Away,12,10,22,25.23,199.7,233
Hawks,Fri,Denver,Home,13,10,23,25.23,199.7,226
Hawks,Mon,Oklahoma City,Home,13,11,24,25.23,199.7,235
Hawks,Wed,New York,Away,13,12,25,25.23,199.7,202
Hawks,Fri,Brooklyn,Away,13,13,26,25.23,199.7,236
Hawks,Sun,Chicago,Home,14,13,27,25.23,199.7,245
Hawks,Mon,Memphis,Away,14,14,28,25.23,199.7,231
Hawks,Wed,Orlando,Away,14,15,29,25.23,199.7,259
Hawks,Fri,Charlotte,Away,15,15,30,25.23,199.7,231
Hawks,Mon,Orlando,Home,16,15,31,25.23,199.7,251
Hawks,Wed,Chicago,Home,16,16,32,25.23,199.7,218
Hawks,Fri,Detroit,Home,17,16,33,25.23,199.7,235
Hawks,Tue,Indiana,Away,17,17,34,25.23,199.7,243
Hawks,Wed,Brooklyn,Home,17,18,35,25.23,199.7,215
Hawks,Fri,Los Angeles,Home,17,19,36,25.23,199.7,251
Hawks,Mon,Golden State,Away,17,20,37,25.23,199.7,284
Hawks,Wed,Sacramento,Away,18,20,38,25.23,199.7,237
Hawks,Fri,Los Angeles,Away,18,21,39,25.23,199.7,244
Hawks,Sun,A,Away,19,21,40,25.23,199.7,220
Hawks,Wed,Milwaukee,Home,19,22,41,25.23,199.7,219
Celtics,Tue,Philadelphia,Home,1,0,1,27.48,200.4,243
Celtics,Fri,Miami,Away,2,0,2,27.48,200.4,215
Celtics,Sat,Orlando,Away,3,0,3,27.48,200.4,246
Celtics,Mon,Chicago,Away,3,1,4,27.48,200.4,222
Celtics,Fri,Cleveland,Home,3,2,5,27.48,200.4,255
Celtics,Sun,Washington,Home,4,2,6,27.48,200.4,206
Celtics,Wed,Cleveland,Away,4,3,7,27.48,200.4,227
Celtics,Fri,Chicago,Home,5,3,8,27.48,200.4,242
Celtics,Sat,New York,Away,6,3,9,27.48,200.4,251
Celtics,Mon,Memphis,Away,7,3,10,27.48,200.4,215
Celtics,Wed,Detroit,Home,8,3,11,27.48,200.4,240
Celtics,Fri,Denver,Home,9,3,12,27.48,200.4,243
Celtics,Sat,Detroit,Away,10,3,13,27.48,200.4,225
Celtics,Mon,Oklahoma City,Home,11,3,14,27.48,200.4,248
Celtics,Wed,Atlanta,Away,12,3,15,27.48,200.4,227
Celtics,Fri,New Orleans,Away,13,3,16,27.48,200.4,226
Celtics,Mon,Chicago,Away,13,4,17,27.48,200.4,228
Celtics,Wed,Dallas,Home,14,4,18,27.48,200.4,237
Celtics,Fri,Sacramento,Home,15,4,19,27.48,200.4,226
Celtics,Sun,Washington,Home,16,4,20,27.48,200.4,251
Celtics,Mon,Charlotte,Home,17,4,21,27.48,200.4,245
Celtics,Wed,Miami,Home,18,4,22,27.48,200.4,255
Celtics,Fri,Miami,Home,18,5,23,27.48,200.4,236
Celtics,Sun,Brooklyn,Away,19,5,24,27.48,200.4,195
Celtics,Mon,Toronto,Away,20,5,25,27.48,200.4,226
Celtics,Wed,Phoenix,Away,21,5,26,27.48,200.4,223
Celtics,Sat,Golden State,Away,21,6,27,27.48,200.4,230
Celtics,Mon,A,Away,21,7,28,27.48,200.4,206
Celtics,Tue,Los Angeles,Away,22,7,29,27.48,200.4,240
Celtics,Fri,Orlando,Home,22,8,30,27.48,200.4,226
Celtics,Sun,Orlando,Home,22,9,31,27.48,200.4,187
Celtics,Wed,Indiana,Home,22,10,32,27.48,200.4,229
Celtics,Fri,Minnesota,Home,30,12,42,27.48,200.4,230
Celtics,Sun,Milwaukee,Home,24,10,34,27.48,200.4,257
