Team,Date,Day of Week,Opponent,Home/Away,Wins,Losses,Total Games Played,Average Age of Team,Average Height (cm),Team Points,Opponent Points,Total Points
Hawks,"Wed, Oct 19",Wed,Houston,Home,1,0,1,25.23,199.7,117,107,224
Hawks,"Fri, Oct 21",Fri,Orlando,Home,2,0,2,25.23,199.7,108,98,206
Hawks,"Sun, Oct 23",Sun,Charlotte,Home,2,1,3,25.23,199.7,126,109,235
Hawks,"Wed, Oct 26",Wed,Detroit,Away,3,1,4,25.23,199.7,118,113,231
Hawks,"Fri, Oct 28",Fri,Detroit,Away,4,1,5,25.23,199.7,136,112,248
Hawks,"Sat, Oct 29",Sat,Milwaukee,Away,4,2,6,25.23,199.7,123,115,238
Hawks,"Mon, Oct 31",Mon,Toronto,Away,4,3,7,25.23,199.7,139,109,248
Hawks,"Wed, Nov 2",Wed,New York,Away,5,3,8,25.23,199.7,112,99,211
Hawks,"Sat, Nov 5",Sat,New Orleans,Home,6,3,9,25.23,199.7,124,121,245
Hawks,"Mon, Nov 7",Mon,Milwaukee,Home,7,3,10,25.23,199.7,117,98,215
Hawks,"Wed, Nov 9",Wed,Utah,Home,7,4,11,25.23,199.7,125,119,244
Hawks,"Thu, Nov 10",Thu,Philadelphia,Home,8,4,12,25.23,199.7,104,95,199
Hawks,"Sat, Nov 12",Sat,Philadelphia,Away,8,5,13,25.23,199.7,121,109,230
Hawks,"Mon, Nov 14",Mon,Milwaukee,Away,9,5,14,25.23,199.7,121,106,227
Hawks,"Wed, Nov 16",Wed,Boston,Home,9,6,15,25.23,199.7,126,101,227
Hawks,"Sat, Nov 19",Sat,Toronto,Home,10,6,16,25.23,199.7,124,122,246
Hawks,"Mon, Nov 21",Mon,Cleveland,Away,10,7,17,25.23,199.7,114,102,216
Hawks,"Wed, Nov 23",Wed,Sacramento,Home,11,7,18,25.23,199.7,115,106,221
Hawks,"Fri, Nov 25",Fri,Houston,Away,11,8,19,25.23,199.7,128,122,250
Hawks,"Sun, Nov 27",Sun,Miami,Home,11,9,20,25.23,199.7,106,98,204
Hawks,"Mon, Nov 28",Mon,Philadelphia,Away,11,10,21,25.23,199.7,104,101,205
Hawks,"Wed, Nov 30",Wed,Orlando,Away,12,10,22,25.23,199.7,125,108,233
Hawks,"Fri, Dec 2",Fri,Denver,Home,13,10,23,25.23,199.7,117,109,226
Hawks,"Mon, Dec 5",Mon,Oklahoma City,Home,13,11,24,25.23,199.7,121,114,235
Hawks,"Wed, Dec 7",Wed,New York,Away,13,12,25,25.23,199.7,113,89,202
Hawks,"Fri, Dec 9",Fri,Brooklyn,Away,13,13,26,25.23,199.7,120,116,236
Hawks,"Sun, Dec 11",Sun,Chicago,Home,14,13,27,25.23,199.7,123,122,245
Hawks,"Mon, Dec 12",Mon,Memphis,Away,14,14,28,25.23,199.7,128,103,231
Hawks,"Wed, Dec 14",Wed,Orlando,Away,14,15,29,25.23,199.7,135,124,259
Hawks,"Fri, Dec 16",Fri,Charlotte,Away,15,15,30,25.23,199.7,125,106,231
Hawks,"Mon, Dec 19",Mon,Orlando,Home,16,15,31,25.23,199.7,126,125,251
Hawks,"Wed, Dec 21",Wed,Chicago,Home,16,16,32,25.23,199.7,110,108,218
Hawks,"Fri, Dec 23",Fri,Detroit,Home,17,16,33,25.23,199.7,130,105,235
Hawks,"Tue, Dec 27",Tue,Indiana,Away,17,17,34,25.23,199.7,129,114,243
Hawks,"Wed, Dec 28",Wed,Brooklyn,Home,17,18,35,25.23,199.7,108,107,215
Hawks,"Fri, Dec 30",Fri,Los Angeles,Home,17,19,36,25.23,199.7,130,121,251
Hawks,"Mon, Jan 2",Mon,Golden State,Away,17,20,37,25.23,199.7,143,141,284
Hawks,"Wed, Jan 4",Wed,Sacramento,Away,18,20,38,25.23,199.7,120,117,237
Hawks,"Fri, Jan 6",Fri,Los Angeles,Away,18,21,39,25.23,199.7,130,114,244
Hawks,"Sun, Jan 8",Sun,A,Away,19,21,40,25.23,199.7,112,108,220
Hawks,"Wed, Jan 11",Wed,Milwaukee,Home,19,22,41,25.23,199.7,114,105,219
Celtics,"Tue, Oct 18",Tue,Philadelphia,Home,1,0,1,27.48,200.4,126,117,243
Celtics,"Fri, Oct 21",Fri,Miami,Away,2,0,2,27.48,200.4,111,104,215
Celtics,"Sat, Oct 22",Sat,Orlando,Away,3,0,3,27.48,200.4,126,120,246
Celtics,"Mon, Oct 24",Mon,Chicago,Away,3,1,4,27.48,200.4,120,102,222
Celtics,"Fri, Oct 28",Fri,Cleveland,Home,3,2,5,27.48,200.4,132,123,255
Celtics,"Sun, Oct 30",Sun,Washington,Home,4,2,6,27.48,200.4,112,94,206
Celtics,"Wed, Nov 2",Wed,Cleveland,Away,4,3,7,27.48,200.4,114,113,227
Celtics,"Fri, Nov 4",Fri,Chicago,Home,5,3,8,27.48,200.4,123,119,242
Celtics,"Sat, Nov 5",Sat,New York,Away,6,3,9,27.48,200.4,133,118,251
Celtics,"Mon, Nov 7",Mon,Memphis,Away,7,3,10,27.48,200.4,109,106,215
Celtics,"Wed, Nov 9",Wed,Detroit,Home,8,3,11,27.48,200.4,128,112,240
Celtics,"Fri, Nov 11",Fri,Denver,Home,9,3,12,27.48,200.4,131,112,243
Celtics,"Sat, Nov 12",Sat,Detroit,Away,10,3,13,27.48,200.4,117,108,225
Celtics,"Mon, Nov 14",Mon,Oklahoma City,Home,11,3,14,27.48,200.4,126,122,248
Celtics,"Wed, Nov 16",Wed,Atlanta,Away,12,3,15,27.48,200.4,126,101,227
Celtics,"Fri, Nov 18",Fri,New Orleans,Away,13,3,16,27.48,200.4,117,109,226
Celtics,"Mon, Nov 21",Mon,Chicago,Away,13,4,17,27.48,200.4,121,107,228
Celtics,"Wed, Nov 23",Wed,Dallas,Home,14,4,18,27.48,200.4,125,112,237
Celtics,"Fri, Nov 25",Fri,Sacramento,Home,15,4,19,27.48,200.4,122,104,226
