Date,Revenue,Day of Month,Month,Year,Day of Week,Week of Year
5/5/2020,683.41,0.498614781,0.866028465,2020,0.779402766,0.911468565
5/6/2020,872.09,0.586232048,0.866028465,2020,0.973614316,0.911468565
5/7/2020,1062.70,0.667465561,0.866028465,2020,0.97662784,0.911468565
5/8/2020,2213.93,0.741430732,0.866028465,2020,0.787851543,0.911468565
5/9/2020,1234.98,0.807322121,0.866028465,2020,0.444357246,0.911468565
5/10/2020,1746.70,0.864422204,0.866028465,2020,0.013600234,0.911468565
5/11/2020,713.55,0.912109192,0.866028465,2020,0.432132383,0.934623881
5/12/2020,621.64,0.949863801,0.866028465,2020,0.779402766,0.934623881
5/13/2020,900.32,0.977274902,0.866028465,2020,0.973614316,0.934623881
5/14/2020,926.88,0.994044003,0.866028465,2020,0.97662784,0.934623881
5/15/2020,3851.81,0.999988498,0.866028465,2020,0.787851543,0.934623881
5/16/2020,3921.97,0.995043654,0.866028465,2020,0.444357246,0.934623881
5/17/2020,3783.01,0.979263318,0.866028465,2020,0.013600234,0.934623881
5/18/2020,3878.38,0.95281933,0.866028465,2020,0.432132383,0.954375088
5/19/2020,3373.80,0.915999649,0.866028465,2020,0.779402766,0.954375088
5/20/2020,3804.31,0.869205224,0.866028465,2020,0.973614316,0.954375088
5/21/2020,4307.20,0.81294562,0.866028465,2020,0.97662784,0.954375088
5/22/2020,5104.90,0.747833474,0.866028465,2020,0.787851543,0.954375088
5/23/2020,5838.41,0.674577822,0.866028465,2020,0.444357246,0.954375088
5/24/2020,4248.15,0.593976379,0.866028465,2020,0.013600234,0.954375088
5/25/2020,1434.85,0.506906852,0.866028465,2020,0.432132383,0.970650247
5/26/2020,2714.13,0.414317381,0.866028465,2020,0.779402766,0.970650247
5/27/2020,2550.44,0.317216216,0.866028465,2020,0.973614316,0.970650247
5/28/2020,2787.40,0.216660737,0.866028465,2020,0.97662784,0.970650247
5/29/2020,6994.56,0.113745938,0.866028465,2020,0.787851543,0.970650247
5/30/2020,7593.27,0.009592506,0.866028465,2020,0.444357246,0.970650247
5/31/2020,5395.22,-0.094665382,0.866028465,2020,0.013600234,0.970650247
6/1/2020,3455.85,0.104210454,1,2020,0.432132383,0.983390082
6/2/2020,3926.58,0.207286113,1,2020,0.779402766,0.983390082
6/3/2020,3291.89,0.308104537,1,2020,0.973614316,0.983390082
6/4/2020,2561.71,0.405567867,1,2020,0.97662784,0.983390082
6/5/2020,7016.98,0.498614781,1,2020,0.787851543,0.983390082
6/6/2020,7460.49,0.586232048,1,2020,0.444357246,0.983390082
6/7/2020,4989.02,0.667465561,1,2020,0.013600234,0.983390082
6/8/2020,2088.98,0.741430732,1,2020,0.432132383,0.992548189
6/9/2020,3388.59,0.807322121,1,2020,0.779402766,0.992548189
6/10/2020,3795.49,0.864422204,1,2020,0.973614316,0.992548189
6/11/2020,5234.93,0.912109192,1,2020,0.97662784,0.992548189
6/12/2020,7543.05,0.949863801,1,2020,0.787851543,0.992548189
6/13/2020,7532.64,0.977274902,1,2020,0.444357246,0.992548189
6/14/2020,3961.35,0.994044003,1,2020,0.013600234,0.992548189
6/15/2020,2296.61,0.999988498,1,2020,0.432132383,0.998091215
6/16/2020,4288.23,0.995043654,1,2020,0.779402766,0.998091215
6/17/2020,3294.83,0.979263318,1,2020,0.973614316,0.998091215
6/18/2020,3863.27,0.95281933,1,2020,0.97662784,0.998091215
6/19/2020,3884.38,0.915999649,1,2020,0.787851543,0.998091215
6/20/2020,4535.61,0.869205224,1,2020,0.444357246,0.998091215
6/21/2020,3131.28,0.81294562,1,2020,0.013600234,0.998091215
6/22/2020,2306.86,0.747833474,1,2020,0.432132383,0.999998968
6/23/2020,4555.84,0.674577822,1,2020,0.779402766,0.999998968
6/24/2020,3212.97,0.593976379,1,2020,0.973614316,0.999998968
6/25/2020,4045.28,0.506906852,1,2020,0.97662784,0.999998968
6/26/2020,7491.25,0.414317381,1,2020,0.787851543,0.999998968
6/27/2020,8106.95,0.317216216,1,2020,0.444357246,0.999998968
6/28/2020,3881.70,0.216660737,1,2020,0.013600234,0.999998968
6/29/2020,2671.31,0.113745938,1,2020,0.432132383,0.998264503
6/30/2020,4045.59,0.009592506,1,2020,0.779402766,0.998264503
7/1/2020,2402.55,0.104210454,0.866021118,2020,0.973614316,0.998264503
7/2/2020,5667.96,0.207286113,0.866021118,2020,0.97662784,0.998264503
7/3/2020,4448.64,0.308104537,0.866021118,2020,0.787851543,0.998264503
7/4/2020,3510.51,0.405567867,0.866021118,2020,0.444357246,0.998264503
7/5/2020,2722.38,0.498614781,0.866021118,2020,0.013600234,0.998264503
7/6/2020,1767.24,0.586232048,0.866021118,2020,0.432132383,0.992894134
7/7/2020,4059.60,0.667465561,0.866021118,2020,0.779402766,0.992894134
7/8/2020,2332.67,0.741430732,0.866021118,2020,0.973614316,0.992894134
7/9/2020,3345.14,0.807322121,0.866021118,2020,0.97662784,0.992894134
7/10/2020,6781.47,0.864422204,0.866021118,2020,0.787851543,0.992894134
7/11/2020,4948.13,0.912109192,0.866021118,2020,0.444357246,0.992894134
7/12/2020,-28.75,0.949863801,0.866021118,2020,0.013600234,0.992894134
7/13/2020,2270.23,0.977274902,0.866021118,2020,0.432132383,0.983907423
7/14/2020,3661.85,0.994044003,0.866021118,2020,0.779402766,0.983907423
7/15/2020,2650.27,0.999988498,0.866021118,2020,0.973614316,0.983907423
7/16/2020,3675.21,0.995043654,0.866021118,2020,0.97662784,0.983907423
7/17/2020,6706.31,0.979263318,0.866021118,2020,0.787851543,0.983907423
7/18/2020,8181.15,0.95281933,0.866021118,2020,0.444357246,0.983907423
7/19/2020,3397.79,0.915999649,0.866021118,2020,0.013600234,0.983907423
7/20/2020,2233.12,0.869205224,0.866021118,2020,0.432132383,0.971337102
7/21/2020,4666.97,0.81294562,0.866021118,2020,0.779402766,0.971337102
7/22/2020,1933.12,0.747833474,0.866021118,2020,0.973614316,0.971337102
7/23/2020,3647.50,0.674577822,0.866021118,2020,0.97662784,0.971337102
7/24/2020,5850.16,0.593976379,0.866021118,2020,0.787851543,0.971337102
7/25/2020,6220.40,0.506906852,0.866021118,2020,0.444357246,0.971337102
7/26/2020,4091.62,0.414317381,0.866021118,2020,0.013600234,0.971337102
7/27/2020,860.58,0.317216216,0.866021118,2020,0.432132383,0.955228953
7/28/2020,4564.39,0.216660737,0.866021118,2020,0.779402766,0.955228953
7/29/2020,2663.54,0.113745938,0.866021118,2020,0.973614316,0.955228953
7/30/2020,3853.83,0.009592506,0.866021118,2020,0.97662784,0.955228953
7/31/2020,7903.01,-0.094665382,0.866021118,2020,0.787851543,0.955228953
8/1/2020,9025.21,0.104210454,0.499991517,2020,0.444357246,0.955228953
8/2/2020,4781.65,0.207286113,0.499991517,2020,0.013600234,0.955228953
8/3/2020,3068.30,0.308104537,0.499991517,2020,0.432132383,0.935641647
8/4/2020,5018.43,0.405567867,0.499991517,2020,0.779402766,0.935641647
8/5/2020,3264.58,0.498614781,0.499991517,2020,0.973614316,0.935641647
8/6/2020,3927.68,0.586232048,0.499991517,2020,0.97662784,0.935641647
8/7/2020,9234.12,0.667465561,0.499991517,2020,0.787851543,0.935641647
8/8/2020,10971.88,0.741430732,0.499991517,2020,0.444357246,0.935641647
8/9/2020,5441.39,0.807322121,0.499991517,2020,0.013600234,0.935641647
8/10/2020,3219.22,0.864422204,0.499991517,2020,0.432132383,0.912646525
8/11/2020,5583.91,0.912109192,0.499991517,2020,0.779402766,0.912646525
8/12/2020,4950.28,0.949863801,0.499991517,2020,0.973614316,0.912646525
8/13/2020,7497.01,0.977274902,0.499991517,2020,0.97662784,0.912646525
8/14/2020,8325.70,0.994044003,0.499991517,2020,0.787851543,0.912646525
8/15/2020,9683.65,0.999988498,0.499991517,2020,0.444357246,0.912646525
8/16/2020,4627.37,0.995043654,0.499991517,2020,0.013600234,0.912646525
8/17/2020,3008.76,0.979263318,0.499991517,2020,0.432132383,0.88632734
8/18/2020,6211.46,0.95281933,0.499991517,2020,0.779402766,0.88632734
8/19/2020,2510.81,0.915999649,0.499991517,2020,0.973614316,0.88632734
8/20/2020,4760.10,0.869205224,0.499991517,2020,0.97662784,0.88632734
8/21/2020,7932.08,0.81294562,0.499991517,2020,0.787851543,0.88632734
8/22/2020,7470.09,0.747833474,0.499991517,2020,0.444357246,0.88632734
