,Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezz Sales
0,5/5/2020,683.41, Tuesday,5,5,20, 10.00, 595.00,
1,5/6/2020,872.09, Wednesday,6,5,20,0.00,100.00%,
2,5/7/2020,"1,062.70", Thursday,7,5,20, 7.50, 871.25,
3,5/8/2020,"2,213.93", Friday,8,5,20, 7.50," 1,837.50",
4,5/9/2020,"1,234.98", Saturday,9,5,20, 129.50, 914.50,
5,5/10/2020,"1,746.70", Sunday,10,5,20, 6.00," 1,522.75",
6,5/11/2020,713.55, Monday,11,5,20, 27.50, 586.50,
7,5/12/2020,621.64, Tuesday,12,5,20, 36.00, 501.50,
8,5/13/2020,900.32, Wednesday,13,5,20, 140.00, 613.00,
9,5/14/2020,926.88, Thursday,14,5,20, 822.25, 983.50," 1,141.00"
10,5/15/2020,"3,851.81", Friday,15,5,20, 556.00, 823.00, 611.50
11,5/16/2020,"3,921.97", Saturday,16,5,20, 512.00, 921.50, 64.00
12,5/17/2020,"3,783.01", Sunday,17,5,20, 543.00, 624.00, 416.50
13,5/18/2020,"3,878.38", Monday,18,5,20, 561.42, 420.00, 401.50
14,5/19/2020,"3,373.80", Tuesday,19,5,20, 506.00, 474.50, 324.50
15,5/20/2020,"3,804.31", Wednesday,20,5,20, 610.50, 552.25," 1,065.00"
16,5/21/2020,"4,307.20", Thursday,21,5,20, 582.00, 870.00, 425.50
17,5/22/2020,"5,104.90", Friday,22,5,20, 952.50, 723.00, 759.00
18,5/23/2020,"5,838.41", Saturday,23,5,20, 198.00, 999.00, 356.00
19,5/24/2020,"4,248.15", Sunday,24,5,20, 224.50, 405.00, 503.00
20,5/25/2020,"1,434.85", Monday,25,5,20, 355.99, 359.50, 177.50
21,5/26/2020,"2,714.13", Tuesday,26,5,20, 131.50, 412.00, 373.50
22,5/27/2020,"2,550.44", Wednesday,27,5,20, 483.50, 483.00, 413.50
23,5/28/2020,"2,787.40", Thursday,28,5,20," 1,253.50"," 1,036.50", 699.50
24,5/29/2020,"6,994.56", Friday,29,5,20," 1,238.00", 802.50," 1,068.50"
25,5/30/2020,"7,593.27", Saturday,30,5,20, 826.00, 903.25, 134.50
26,5/31/2020,"5,395.22", Sunday,31,5,20, 257.50, 355.00, 460.00
27,6/1/2020,"3,455.85", Monday,1,6,20, 737.00, 393.00, 534.44
28,6/2/2020,"3,926.58", Tuesday,2,6,20, 297.25, 324.50, 588.00
29,6/3/2020,"3,291.89", Wednesday,3,6,20, 314.00, 565.50, 365.75
30,6/4/2020,"2,561.71", Thursday,4,6,20," 1,370.50"," 1,070.25"," 1,044.00"
31,6/5/2020,"7,016.98", Friday,5,6,20," 1,616.50"," 1,047.00", 800.00
32,6/6/2020,"7,460.49", Saturday,6,6,20, 489.50, 997.00, 505.00
33,6/7/2020,"4,989.02", Sunday,7,6,20, 53.50, 331.50, 101.75
34,6/8/2020,"2,088.98", Monday,8,6,20, 932.00, 443.50, 595.82
35,6/9/2020,"3,388.59", Tuesday,9,6,20, 561.00, 335.00, 613.50
36,6/10/2020,"3,795.49", Wednesday,10,6,20, 818.00, 479.50, 951.50
37,6/11/2020,"5,234.93", Thursday,11,6,20," 1,229.00", 784.00, 905.87
38,6/12/2020,"7,543.05", Friday,12,6,20," 1,487.00", 779.75, 796.50
39,6/13/2020,"7,532.64", Saturday,13,6,20, 344.25, 652.25, 306.00
40,6/14/2020,"3,961.35", Sunday,14,6,20, 198.00, 486.50, 229.00
41,6/15/2020,"2,296.61", Monday,15,6,20, 513.00, 307.00, 704.47
42,6/16/2020,"4,288.23", Tuesday,16,6,20, 433.00, 455.50, 441.00
43,6/17/2020,"3,294.83", Wednesday,17,6,20, 248.00, 526.00, 745.75
44,6/18/2020,"3,863.27", Thursday,18,6,20, 959.40," 1,146.00"," 1,000.50"
45,6/19/2020,"3,884.38", Friday,19,6,20, 631.50, 749.50, 95.00
