,Date,Day of Month,Month,Year,Day of Week,Week of Year
0,1/31/2023,-0.094665382,-0.866024792,2023,0.779402766,0.297239333
1,2/1/2023,0.104210454,-0.499997879,2023,0.973614316,0.297239333
2,2/2/2023,0.207286113,-0.499997879,2023,0.97662784,0.297239333
3,2/3/2023,0.308104537,-0.499997879,2023,0.787851543,0.297239333
4,2/4/2023,0.405567867,-0.499997879,2023,0.444357246,0.297239333
5,2/7/2023,0.667465561,-0.499997879,2023,0.779402766,0.354294947
6,2/8/2023,0.741430732,-0.499997879,2023,0.973614316,0.354294947
7,2/9/2023,0.807322121,-0.499997879,2023,0.97662784,0.354294947
8,2/10/2023,0.864422204,-0.499997879,2023,0.787851543,0.354294947
9,2/11/2023,0.912109192,-0.499997879,2023,0.444357246,0.354294947
10,2/14/2023,0.994044003,-0.499997879,2023,0.779402766,0.41006014
11,2/15/2023,0.999988498,-0.499997879,2023,0.973614316,0.41006014
12,2/16/2023,0.995043654,-0.499997879,2023,0.97662784,0.41006014
13,2/17/2023,0.979263318,-0.499997879,2023,0.787851543,0.41006014
14,2/18/2023,0.95281933,-0.499997879,2023,0.444357246,0.41006014
15,2/21/2023,0.81294562,-0.499997879,2023,0.779402766,0.464331802
16,2/22/2023,0.747833474,-0.499997879,2023,0.973614316,0.464331802
17,2/23/2023,0.674577822,-0.499997879,2023,0.97662784,0.464331802
18,2/24/2023,0.593976379,-0.499997879,2023,0.787851543,0.464331802
19,2/25/2023,0.506906852,-0.499997879,2023,0.444357246,0.464331802
20,2/28/2023,0.216660737,-0.499997879,2023,0.779402766,0.516912264
21,3/1/2023,0.104210454,3.67E-06,2023,0.973614316,0.516912264
22,3/2/2023,0.207286113,3.67E-06,2023,0.97662784,0.516912264
23,3/3/2023,0.308104537,3.67E-06,2023,0.787851543,0.516912264
24,3/4/2023,0.405567867,3.67E-06,2023,0.444357246,0.516912264
25,3/7/2023,0.667465561,3.67E-06,2023,0.779402766,0.567610016
26,3/8/2023,0.741430732,3.67E-06,2023,0.973614316,0.567610016
27,3/9/2023,0.807322121,3.67E-06,2023,0.97662784,0.567610016
28,3/10/2023,0.864422204,3.67E-06,2023,0.787851543,0.567610016
29,3/11/2023,0.912109192,3.67E-06,2023,0.444357246,0.567610016
30,3/14/2023,0.994044003,3.67E-06,2023,0.779402766,0.616240406
31,3/15/2023,0.999988498,3.67E-06,2023,0.973614316,0.616240406
32,3/16/2023,0.995043654,3.67E-06,2023,0.97662784,0.616240406
33,3/17/2023,0.979263318,3.67E-06,2023,0.787851543,0.616240406
34,3/18/2023,0.95281933,3.67E-06,2023,0.444357246,0.616240406
35,3/21/2023,0.81294562,3.67E-06,2023,0.779402766,0.66262631
36,3/22/2023,0.747833474,3.67E-06,2023,0.973614316,0.66262631
37,3/23/2023,0.674577822,3.67E-06,2023,0.97662784,0.66262631
38,3/24/2023,0.593976379,3.67E-06,2023,0.787851543,0.66262631
39,3/25/2023,0.506906852,3.67E-06,2023,0.444357246,0.66262631
40,3/28/2023,0.216660737,3.67E-06,2023,0.779402766,0.706598781
41,3/29/2023,0.113745938,3.67E-06,2023,0.973614316,0.706598781
42,3/30/2023,0.009592506,3.67E-06,2023,0.97662784,0.706598781
43,3/31/2023,-0.094665382,3.67E-06,2023,0.787851543,0.706598781
44,4/1/2023,0.104210454,0.500004241,2023,0.444357246,0.706598781
45,4/4/2023,0.405567867,0.500004241,2023,0.779402766,0.747997661
46,4/5/2023,0.498614781,0.500004241,2023,0.973614316,0.747997661
47,4/6/2023,0.586232048,0.500004241,2023,0.97662784,0.747997661
48,4/7/2023,0.667465561,0.500004241,2023,0.787851543,0.747997661
49,4/8/2023,0.741430732,0.500004241,2023,0.444357246,0.747997661
50,4/11/2023,0.912109192,0.500004241,2023,0.779402766,0.786672166
51,4/12/2023,0.949863801,0.500004241,2023,0.973614316,0.786672166
52,4/13/2023,0.977274902,0.500004241,2023,0.97662784,0.786672166
53,4/14/2023,0.994044003,0.500004241,2023,0.787851543,0.786672166
54,4/15/2023,0.999988498,0.500004241,2023,0.444357246,0.786672166
55,4/18/2023,0.95281933,0.500004241,2023,0.779402766,0.822481436
56,4/19/2023,0.915999649,0.500004241,2023,0.973614316,0.822481436
57,4/20/2023,0.869205224,0.500004241,2023,0.97662784,0.822481436
58,4/21/2023,0.81294562,0.500004241,2023,0.787851543,0.822481436
59,4/22/2023,0.747833474,0.500004241,2023,0.444357246,0.822481436
