Date,Revenue,Day of Week,Day of Month,Month,Year,One_Day_Prior_Revenue,Two_Days_Prior_Revenue,Three_Days_Prior_Revenue,Four_Days_Prior_Revenue,Five_Days_Prior_Revenue,Six_Days_Prior_Revenue,Seven_Days_Prior_Revenue,Seven_Days_Prior_Summed_Revenue
5/5/2020,683.41,Tuesday,5,5,2020,0,0,0,0,0,0,0,0
5/6/2020,872.09,Wednesday,6,5,2020,683.41,0,0,0,0,0,0,683.41
5/7/2020,1062.7,Thursday,7,5,2020,872.09,683.41,0,0,0,0,0,1555.5
5/8/2020,2213.93,Friday,8,5,2020,1062.7,872.09,683.41,0,0,0,0,2618.2
5/9/2020,1234.98,Saturday,9,5,2020,2213.93,1062.7,872.09,683.41,0,0,0,4832.13
5/10/2020,1746.7,Sunday,10,5,2020,1234.98,2213.93,1062.7,872.09,683.41,0,0,6067.11
5/11/2020,713.55,Monday,11,5,2020,1746.7,1234.98,2213.93,1062.7,872.09,683.41,0,7813.81
5/12/2020,621.64,Tuesday,12,5,2020,713.55,1746.7,1234.98,2213.93,1062.7,872.09,683.41,8527.36
5/13/2020,900.32,Wednesday,13,5,2020,621.64,713.55,1746.7,1234.98,2213.93,1062.7,872.09,8465.59
5/14/2020,926.88,Thursday,14,5,2020,900.32,621.64,713.55,1746.7,1234.98,2213.93,1062.7,8493.82
5/15/2020,3851.81,Friday,15,5,2020,926.88,900.32,621.64,713.55,1746.7,1234.98,2213.93,8358
5/16/2020,3921.97,Saturday,16,5,2020,3851.81,926.88,900.32,621.64,713.55,1746.7,1234.98,9995.88
5/17/2020,3783.01,Sunday,17,5,2020,3921.97,3851.81,926.88,900.32,621.64,713.55,1746.7,12682.87
5/18/2020,3904.48,Monday,18,5,2020,3783.01,3921.97,3851.81,926.88,900.32,621.64,713.55,14719.18
5/19/2020,3347.7,Tuesday,19,5,2020,3904.48,3783.01,3921.97,3851.81,926.88,900.32,621.64,17910.11
5/20/2020,3804.31,Wednesday,20,5,2020,3347.7,3904.48,3783.01,3921.97,3851.81,926.88,900.32,20636.17
5/21/2020,4307.2,Thursday,21,5,2020,3804.31,3347.7,3904.48,3783.01,3921.97,3851.81,926.88,23540.16
5/22/2020,5104.9,Friday,22,5,2020,4307.2,3804.31,3347.7,3904.48,3783.01,3921.97,3851.81,26920.48
5/23/2020,5838.41,Saturday,23,5,2020,5104.9,4307.2,3804.31,3347.7,3904.48,3783.01,3921.97,28173.57
5/24/2020,4248.15,Sunday,24,5,2020,5838.41,5104.9,4307.2,3804.31,3347.7,3904.48,3783.01,30090.01
5/25/2020,1434.85,Monday,25,5,2020,4248.15,5838.41,5104.9,4307.2,3804.31,3347.7,3904.48,30555.15
5/26/2020,2714.13,Tuesday,26,5,2020,1434.85,4248.15,5838.41,5104.9,4307.2,3804.31,3347.7,28085.52
