Date,Revenue,Day of Week,Day of Month,Month,Year,1st Floor Sales,To Go Sales,Mezzanine Sales,Roof Sales,Banquet Sales,One_Day_Prior_Revenue,Two_Days_Prior_Revenue,Three_Days_Prior_Revenue,Four_Days_Prior_Revenue,Five_Days_Prior_Revenue,Six_Days_Prior_Revenue,Seven_Days_Prior_Revenue,Seven_Days_Prior_Summed_Revenue
5/5/2020,683.41,Tuesday,5,5,2020,10,595,0,0,0,0,0,0,0,0,0,0,0
5/6/2020,872.09,Wednesday,6,5,2020,0,711.5,0,0,0,683.41,0,0,0,0,0,0,683.41
5/7/2020,1062.7,Thursday,7,5,2020,7.5,871.25,0,0,0,872.09,683.41,0,0,0,0,0,1555.5
5/8/2020,2213.93,Friday,8,5,2020,7.5,"1,837.50",0,0,0,1062.7,872.09,683.41,0,0,0,0,2618.2
5/9/2020,1234.98,Saturday,9,5,2020,129.5,914.5,0,0,0,2213.93,1062.7,872.09,683.41,0,0,0,4832.13
5/10/2020,1746.7,Sunday,10,5,2020,6,"1,522.75",0,0,0,1234.98,2213.93,1062.7,872.09,683.41,0,0,6067.11
5/11/2020,713.55,Monday,11,5,2020,27.5,586.5,0,0,0,1746.7,1234.98,2213.93,1062.7,872.09,683.41,0,7813.81
5/12/2020,621.64,Tuesday,12,5,2020,36,501.5,0,0,0,713.55,1746.7,1234.98,2213.93,1062.7,872.09,683.41,8527.36
5/13/2020,900.32,Wednesday,13,5,2020,0,766.5,0,0,0,621.64,713.55,1746.7,1234.98,2213.93,1062.7,872.09,8465.59
5/14/2020,926.88,Thursday,14,5,2020,140,613,0,0,0,900.32,621.64,713.55,1746.7,1234.98,2213.93,1062.7,8493.82
5/15/2020,3851.81,Friday,15,5,2020,822.25,983.5,"1,141.00",72.75,0,926.88,900.32,621.64,713.55,1746.7,1234.98,2213.93,8358
5/16/2020,3921.97,Saturday,16,5,2020,556,823,611.5,977.25,0,3851.81,926.88,900.32,621.64,713.55,1746.7,1234.98,9995.88
5/17/2020,3783.01,Sunday,17,5,2020,512,921.5,64,"1,425.50",0,3921.97,3851.81,926.88,900.32,621.64,713.55,1746.7,12682.87
5/18/2020,3904.48,Monday,18,5,2020,543,624,416.5,"1,370.25",0,3783.01,3921.97,3851.81,926.88,900.32,621.64,713.55,14719.18
5/19/2020,3347.7,Tuesday,19,5,2020,561.42,420,401.5,"1,099.72",0,3904.48,3783.01,3921.97,3851.81,926.88,900.32,621.64,17910.11
5/20/2020,3804.31,Wednesday,20,5,2020,506,474.5,324.5,"1,619.75",0,3347.7,3904.48,3783.01,3921.97,3851.81,926.88,900.32,20636.17
5/21/2020,4307.2,Thursday,21,5,2020,610.5,552.25,"1,065.00",929,0,3804.31,3347.7,3904.48,3783.01,3921.97,3851.81,926.88,23540.16
5/22/2020,5104.9,Friday,22,5,2020,582,870,425.5,"1,966.00",0,4307.2,3804.31,3347.7,3904.48,3783.01,3921.97,3851.81,26920.48
5/23/2020,5838.41,Saturday,23,5,2020,952.5,723,759,"2,069.50",0,5104.9,4307.2,3804.31,3347.7,3904.48,3783.01,3921.97,28173.57
5/24/2020,4248.15,Sunday,24,5,2020,198,999,356,"1,733.25",0,5838.41,5104.9,4307.2,3804.31,3347.7,3904.48,3783.01,30090.01
5/25/2020,1434.85,Monday,25,5,2020,224.5,405,503,0,0,4248.15,5838.41,5104.9,4307.2,3804.31,3347.7,3904.48,30555.15
5/26/2020,2714.13,Tuesday,26,5,2020,355.99,359.5,177.5,"1,146.00",0,1434.85,4248.15,5838.41,5104.9,4307.2,3804.31,3347.7,28085.52
5/27/2020,2550.44,Wednesday,27,5,2020,131.5,412,373.5,"1,022.77",0,2714.13,1434.85,4248.15,5838.41,5104.9,4307.2,3804.31,27451.95
5/28/2020,2787.4,Thursday,28,5,2020,483.5,483,413.5,767.5,0,2550.44,2714.13,1434.85,4248.15,5838.41,5104.9,4307.2,26198.08
5/29/2020,6994.56,Friday,29,5,2020,"1,253.50","1,036.50",699.5,"2,386.50",0,2787.4,2550.44,2714.13,1434.85,4248.15,5838.41,5104.9,24678.28
5/30/2020,7593.27,Saturday,30,5,2020,"1,238.00",802.5,"1,068.50","2,667.25",0,6994.56,2787.4,2550.44,2714.13,1434.85,4248.15,5838.41,26567.94
5/31/2020,5395.22,Sunday,31,5,2020,826,903.25,134.5,"2,361.75",0,7593.27,6994.56,2787.4,2550.44,2714.13,1434.85,4248.15,28322.8
6/1/2020,3455.85,Monday,1,6,2020,257.5,355,460,"1,566.25",0,5395.22,7593.27,6994.56,2787.4,2550.44,2714.13,1434.85,29469.87
6/2/2020,3926.58,Tuesday,2,6,2020,737,393,534.44,"1,251.00",0,3455.85,5395.22,7593.27,6994.56,2787.4,2550.44,2714.13,31490.87
6/3/2020,3291.89,Wednesday,3,6,2020,297.25,324.5,588,"1,265.50",0,3926.58,3455.85,5395.22,7593.27,6994.56,2787.4,2550.44,32703.32
6/4/2020,2561.71,Thursday,4,6,2020,314,565.5,365.75,722,0,3291.89,3926.58,3455.85,5395.22,7593.27,6994.56,2787.4,33444.77
6/5/2020,7016.98,Friday,5,6,2020,"1,370.50","1,070.25","1,044.00","1,943.00",0,2561.71,3291.89,3926.58,3455.85,5395.22,7593.27,6994.56,33219.08
6/6/2020,7460.49,Saturday,6,6,2020,"1,616.50","1,047.00",800,"2,211.75",0,7016.98,2561.71,3291.89,3926.58,3455.85,5395.22,7593.27,33241.5
6/7/2020,4989.02,Sunday,7,6,2020,489.5,997,505,"1,944.80",0,7460.49,7016.98,2561.71,3291.89,3926.58,3455.85,5395.22,33108.72
6/8/2020,2088.98,Monday,8,6,2020,53.5,331.5,101.75,"1,109.50",0,4989.02,7460.49,7016.98,2561.71,3291.89,3926.58,3455.85,32702.52
6/9/2020,3388.59,Tuesday,9,6,2020,932,443.5,595.82,605.65,0,2088.98,4989.02,7460.49,7016.98,2561.71,3291.89,3926.58,31335.65
6/10/2020,3795.49,Wednesday,10,6,2020,561,335,613.5,"1,396.50",0,3388.59,2088.98,4989.02,7460.49,7016.98,2561.71,3291.89,30797.66
6/11/2020,5234.93,Thursday,11,6,2020,818,479.5,951.5,"1,645.00",0,3795.49,3388.59,2088.98,4989.02,7460.49,7016.98,2561.71,31301.26
6/12/2020,7543.05,Friday,12,6,2020,"1,229.00",784,905.87,"2,687.00",0,5234.93,3795.49,3388.59,2088.98,4989.02,7460.49,7016.98,33974.48
6/13/2020,7532.64,Saturday,13,6,2020,"1,487.00",779.75,796.5,"2,608.50",0,7543.05,5234.93,3795.49,3388.59,2088.98,4989.02,7460.49,34500.55
6/14/2020,3961.35,Sunday,14,6,2020,344.25,652.25,306,"1,782.50",0,7532.64,7543.05,5234.93,3795.49,3388.59,2088.98,4989.02,34572.7
6/15/2020,2296.61,Monday,15,6,2020,198,486.5,229,894.25,0,3961.35,7532.64,7543.05,5234.93,3795.49,3388.59,2088.98,33545.03
6/16/2020,4288.23,Tuesday,16,6,2020,513,307,704.47,"1,623.70",0,2296.61,3961.35,7532.64,7543.05,5234.93,3795.49,3388.59,33752.66
6/17/2020,3294.83,Wednesday,17,6,2020,433,455.5,441,"1,271.50",0,4288.23,2296.61,3961.35,7532.64,7543.05,5234.93,3795.49,34652.3
6/18/2020,3863.27,Thursday,18,6,2020,248,526,745.75,"1,384.00",0,3294.83,4288.23,2296.61,3961.35,7532.64,7543.05,5234.93,34151.64
6/19/2020,3884.38,Friday,19,6,2020,959.4,"1,146.00","1,000.50",0,0,3863.27,3294.83,4288.23,2296.61,3961.35,7532.64,7543.05,32779.98
6/20/2020,4535.61,Saturday,20,6,2020,631.5,749.5,95,"2,055.50",0,3884.38,3863.27,3294.83,4288.23,2296.61,3961.35,7532.64,29121.31
6/21/2020,3131.28,Sunday,21,6,2020,321.5,687,231,"1,269.50",0,4535.61,3884.38,3863.27,3294.83,4288.23,2296.61,3961.35,26124.28
6/22/2020,2306.86,Monday,22,6,2020,261.25,436,153,916.9,0,3131.28,4535.61,3884.38,3863.27,3294.83,4288.23,2296.61,25294.21
6/23/2020,4555.84,Tuesday,23,6,2020,663.5,464,295.98,"2,008.50",0,2306.86,3131.28,4535.61,3884.38,3863.27,3294.83,4288.23,25304.46
6/24/2020,3212.97,Wednesday,24,6,2020,349,592.5,0,"1,561.00",0,4555.84,2306.86,3131.28,4535.61,3884.38,3863.27,3294.83,25572.07
6/25/2020,4045.28,Thursday,25,6,2020,486,516,496.5,"1,533.50",0,3212.97,4555.84,2306.86,3131.28,4535.61,3884.38,3863.27,25490.21
6/26/2020,7491.25,Friday,26,6,2020,874.75,595.5,708.5,"2,238.75","1,311.00",4045.28,3212.97,4555.84,2306.86,3131.28,4535.61,3884.38,25672.22
