MSSubClass,MSZoning,LotFrontage,Street,Alley,LotShape,Predicted_Value
20,RH,80.0,Pave,,Reg,9216.501711882185
20,RL,81.0,Pave,,IR1,10832.095145184694
60,RL,74.0,Pave,,IR1,9962.747270290392
60,RL,78.0,Pave,,IR1,10251.567174787984
120,RL,43.0,Pave,,IR1,7178.523447398711
60,RL,75.0,Pave,,IR1,10034.952246414816
20,RL,,Pave,,IR1,9939.561412535864
60,RL,63.0,Pave,,IR1,9168.49253292198
20,RL,85.0,Pave,,Reg,11120.915049682344
20,RL,70.0,Pave,,Reg,10037.84040781632
120,RH,26.0,Pave,,IR1,4407.650396105776
160,RM,21.0,Pave,Pave,Reg,3682.7124734602594
160,RM,21.0,Pave,,Reg,3682.7124734602594
160,RL,24.0,Pave,,Reg,5442.715859011585
120,RL,24.0,Pave,,Reg,5806.628901035108
60,RL,102.0,Pave,,IR1,11984.486601773626
20,RL,94.0,Pave,,IR1,11770.759834801913
20,RL,90.0,Pave,,Reg,11481.939930304314
20,RL,79.0,Pave,,IR1,10687.685192935895
