G3,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
6,18,4,4,2,2,0,4,3,4,1,1,3,6,5,6
6,17,1,1,1,2,0,5,3,3,1,1,3,4,5,5
10,15,1,1,1,2,3,4,3,2,2,3,3,10,7,8
15,15,4,2,1,3,0,3,2,2,1,1,5,2,15,14
10,16,3,3,1,2,0,4,3,2,1,2,5,4,6,10
15,16,4,3,1,2,0,5,4,2,1,2,5,10,15,15
11,16,2,2,1,2,0,4,4,4,1,1,3,0,12,12
6,17,4,4,2,2,0,4,1,4,1,1,1,6,6,5
19,15,3,2,1,2,0,4,2,2,1,1,1,0,16,18
15,15,3,4,1,2,0,5,5,1,1,1,5,0,14,15
9,15,4,4,1,2,0,3,3,3,1,2,2,0,10,8
12,15,2,1,3,3,0,5,2,2,1,1,4,4,10,12
14,15,4,4,1,1,0,4,3,3,1,3,5,2,14,14
11,15,4,3,2,2,0,5,4,3,1,2,3,2,10,10
16,15,2,2,1,3,0,4,5,2,1,1,3,0,14,16
14,16,4,4,1,1,0,4,4,4,1,2,2,4,14,14
14,16,4,4,1,3,0,3,2,3,1,2,2,6,13,14
10,16,3,3,3,2,0,5,3,2,1,1,4,4,8,10
5,17,3,2,1,1,3,5,5,5,2,4,5,16,6,5
10,16,4,3,1,1,0,3,1,3,1,3,5,4,8,10
15,15,4,3,1,2,0,4,4,1,1,1,1,0,13,14
15,15,4,4,1,1,0,5,4,2,1,1,5,0,12,15
16,16,4,2,1,2,0,4,5,1,1,3,5,2,15,15
12,16,2,2,2,2,0,5,4,4,2,4,5,0,13,13
8,15,2,4,1,3,0,4,3,2,1,1,5,2,10,9
8,16,2,2,1,1,2,1,2,2,1,3,5,14,6,9
11,15,2,2,1,1,0,4,2,2,1,2,5,2,12,12
15,15,4,2,1,1,0,2,2,4,2,4,1,4,15,16
11,16,3,4,1,2,0,5,3,3,1,1,5,4,11,11
11,16,4,4,1,2,0,4,4,5,5,5,5,16,10,12
12,15,4,4,1,2,0,5,4,2,3,4,5,0,9,11
17,15,4,4,2,2,0,4,3,1,1,1,5,0,17,16
16,15,4,3,1,2,0,4,5,2,1,1,5,0,17,16
12,15,3,3,1,2,0,5,3,2,1,1,2,0,8,10
15,16,3,2,1,1,0,5,4,3,1,1,5,0,12,14
6,15,2,3,2,1,0,3,5,1,1,1,5,0,8,7
18,15,4,3,1,3,0,5,4,3,1,1,4,2,15,16
15,16,4,4,2,3,0,2,4,3,1,1,5,7,15,16
11,15,3,4,1,3,0,4,3,2,1,1,5,2,12,12
13,15,2,2,1,1,0,4,3,1,1,1,2,8,14,13
11,16,2,2,2,2,1,3,3,3,1,2,3,25,7,10
12,15,4,4,1,1,0,5,4,3,2,4,5,8,12,12
18,15,4,4,1,2,0,4,3,3,1,1,5,2,19,18
11,15,2,2,1,1,0,5,4,1,1,1,1,0,8,8
9,16,2,2,2,2,1,4,3,3,2,2,5,14,10,10
6,15,4,3,1,2,0,5,2,2,1,1,5,8,8,8
11,16,3,3,1,2,0,2,3,5,1,4,3,12,11,12
20,16,4,3,1,4,0,4,2,2,1,1,2,4,19,19
14,15,4,2,1,2,0,4,3,3,2,2,5,2,15,15
7,15,4,4,1,2,1,4,4,4,1,1,3,2,7,7
13,16,2,2,3,2,0,4,3,3,2,3,4,2,12,13
13,15,4,2,1,2,0,4,3,3,1,1,5,2,11,13
10,15,4,2,2,1,1,5,5,5,3,4,5,6,11,11
11,15,4,4,1,1,0,3,3,4,2,3,5,0,8,10
13,15,3,3,1,1,0,5,3,4,4,4,1,6,10,13
10,16,2,1,1,2,0,5,3,4,1,1,2,8,8,9
15,15,4,3,1,2,0,4,3,2,1,1,1,0,14,15
15,15,4,4,1,2,0,3,2,2,1,1,5,4,14,15
9,15,1,2,1,2,0,4,3,2,1,1,5,2,9,10
16,16,4,2,1,2,0,4,2,3,1,1,5,2,15,16
11,16,4,4,1,2,0,2,4,4,2,3,4,6,10,11
11,16,1,1,4,1,0,5,5,5,5,5,5,6,10,8
9,16,1,2,1,2,0,4,4,3,1,1,1,4,8,10
9,16,4,3,1,3,0,3,4,4,2,4,4,2,10,9
10,15,4,3,1,2,0,4,4,4,2,4,2,0,10,10
15,16,4,3,3,2,0,5,4,3,1,2,1,2,16,15
12,15,4,4,1,4,0,1,3,3,5,5,3,4,13,13
6,16,3,1,1,4,0,4,3,3,1,2,5,4,7,7
8,15,2,2,2,2,0,4,1,3,1,3,4,2,8,9
16,15,3,1,2,4,0,4,4,2,2,3,3,12,16,16
15,16,3,1,2,4,0,4,3,2,1,1,5,0,13,15
10,15,4,2,1,4,0,3,3,3,1,1,3,0,10,10
5,15,1,1,1,2,2,3,3,4,2,4,5,2,8,6
14,16,3,1,1,1,0,5,3,2,2,2,5,2,12,12
11,16,3,3,1,2,0,4,3,3,2,4,5,54,11,12
10,15,4,3,1,2,0,4,3,3,2,3,5,6,9,9
10,15,4,0,2,4,0,3,4,3,1,1,1,8,11,11
11,16,2,2,1,4,0,5,2,3,1,3,3,0,11,11
10,17,2,1,2,1,3,4,5,1,1,1,3,2,8,8
5,16,3,4,1,2,0,2,4,3,1,2,3,12,5,5
